train/n_updates,train/learning_rate,train/policy_loss,train/entropy_loss,train/value_loss,time/iterations,train/std,time/time_elapsed,time/total_timesteps,time/fps,train/explained_variance
99,0.0007,-36.5195426940918,-2.851816177368164,251.50906372070312,100,1.0075099468231201,0,500,1721,5.960464477539063e-08
199,0.0007,-35.046573638916016,-2.860948085784912,246.43911743164062,200,1.0122629404067993,0,1000,1800,0.0
299,0.0007,-36.92839431762695,-2.8613345623016357,241.9878387451172,300,1.012365460395813,0,1500,1850,0.0
399,0.0007,-25.051570892333984,-2.867072582244873,127.19537353515625,400,1.0156886577606201,1,2000,1870,0.0
499,0.0007,-4.51066255569458,-2.8854329586029053,15.559904098510742,500,1.0254158973693848,1,2500,1883,0.0
599,0.0007,-44.79088592529297,-2.914144515991211,228.5742645263672,600,1.0394718647003174,1,3000,1884,0.0
699,0.0007,-27.130712509155273,-2.927666664123535,113.49919128417969,700,1.047070026397705,1,3500,1892,0.0
799,0.0007,-35.00254821777344,-2.9332728385925293,180.04415893554688,800,1.0506421327590942,2,4000,1889,0.0
899,0.0007,6.946066379547119,-2.92914080619812,5.0277934074401855,900,1.049283742904663,2,4500,1892,0.0
999,0.0007,5.511587619781494,-2.8950300216674805,4.835902214050293,1000,1.0302186012268066,2,5000,1909,0.0
1099,0.0007,0.0014701377367600799,-2.8879129886627197,2.530119616039883e-07,1100,1.02664315700531,2,5500,1923,0.0001042485237121582
1199,0.0007,0.0035753820557147264,-2.8850393295288086,2.097201559081441e-06,1200,1.0249462127685547,3,6000,1936,4.76837158203125e-07
1299,0.0007,0.001634653308428824,-2.884626865386963,4.5675261617361684e-07,1300,1.02474844455719,3,6500,1926,0.00010699033737182617
1399,0.0007,-0.0072200060822069645,-2.887047052383423,1.1777493455156218e-05,1400,1.0262000560760498,3,7000,1925,4.172325134277344e-07
1499,0.0007,0.001716670230962336,-2.887087821960449,3.1665550181969593e-07,1500,1.02582848072052,3,7500,1921,7.808208465576172e-05
1599,0.0007,0.030862858518958092,-2.8835275173187256,0.0005317105096764863,1600,1.0237362384796143,4,8000,1910,-730.1776123046875
1699,0.0007,0.026473864912986755,-2.8711323738098145,0.00010425034997751936,1700,1.017049789428711,4,8500,1904,6.556510925292969e-07
1799,0.0007,0.400402694940567,-2.839322090148926,0.02705547772347927,1800,1.0004702806472778,4,9000,1901,-1.1920928955078125e-07
1899,0.0007,0.8893367648124695,-2.816202163696289,0.1544177085161209,1900,0.9887878894805908,4,9500,1903,0.0
1999,0.0007,0.5581718683242798,-2.793994903564453,0.07994720339775085,2000,0.977526068687439,5,10000,1907,0.0
2099,0.0007,0.3001269996166229,-2.789668321609497,0.012551764957606792,2100,0.9761934280395508,5,10500,1909,0.0
2199,0.0007,0.18715664744377136,-2.796750068664551,0.008442146703600883,2200,0.978965699672699,5,11000,1912,0.0
2299,0.0007,0.48311036825180054,-2.7907872200012207,0.03366624563932419,2300,0.9768502116203308,6,11500,1912,0.0
2399,0.0007,0.16922447085380554,-2.7912755012512207,0.004077277146279812,2400,0.9771424531936646,6,12000,1914,0.0
2499,0.0007,0.18862618505954742,-2.792222738265991,0.008434608578681946,2500,0.976942777633667,6,12500,1911,-1.1920928955078125e-07
2599,0.0007,0.12918928265571594,-2.79097843170166,0.0037330095656216145,2600,0.9763525724411011,6,13000,1909,0.0
2699,0.0007,0.42065468430519104,-2.7718467712402344,0.044649388641119,2700,0.9668256640434265,7,13500,1904,0.0
2799,0.0007,-0.031839169561862946,-2.770939826965332,0.0002608326612971723,2800,0.9674280881881714,7,14000,1900,2.4437904357910156e-06
2899,0.0007,0.07346725463867188,-2.7580039501190186,0.0005060830153524876,2900,0.9615308046340942,7,14500,1896,0.0
2999,0.0007,0.06028622388839722,-2.7583742141723633,0.000330006645526737,3000,0.9618428349494934,7,15000,1892,1.1920928955078125e-07
3099,0.0007,0.1466125249862671,-2.759516477584839,0.00461543956771493,3100,0.9614537954330444,8,15500,1890,0.0
3199,0.0007,0.051261793822050095,-2.7543997764587402,0.0007059003110043705,3200,0.9591591358184814,8,16000,1888,1.1920928955078125e-07
3299,0.0007,0.03548981621861458,-2.7652812004089355,0.00040194750181399286,3300,0.9641618728637695,8,16500,1884,0.0
3399,0.0007,0.03559331223368645,-2.7531261444091797,0.00029356073355302215,3400,0.9585878849029541,9,17000,1881,4.172325134277344e-07
3499,0.0007,0.051025569438934326,-2.7396955490112305,0.00045628659427165985,3500,0.952568769454956,9,17500,1879,8.940696716308594e-07
3599,0.0007,0.07183277606964111,-2.7335586547851562,0.0013117361813783646,3600,0.9494116902351379,9,18000,1882,1.1920928955078125e-07
3699,0.0007,0.07364017516374588,-2.7292184829711914,0.0006466665072366595,3700,0.9482348561286926,9,18500,1884,1.1920928955078125e-07
3799,0.0007,0.06497573107481003,-2.7207436561584473,0.00040575815364718437,3800,0.9446325898170471,10,19000,1885,1.7881393432617188e-07
3899,0.0007,0.03527294844388962,-2.735985517501831,0.00023891082673799247,3900,0.951343297958374,10,19500,1886,2.384185791015625e-07
3999,0.0007,-12.741941452026367,-2.744513750076294,16.651464462280273,4000,0.9540113210678101,10,20000,1884,0.0
